id;question;response;rating1a;rating1b;rating2a;rating2b;questionnaire;question_type;participant_id;model;run;model_domain;
21;Waren Sie bei Ihren Hobbys oder anderen Freizeitbeschäftigungen eingeschränkt?;Ja sehr, ich bin sehr schnell außer Atem;1;4;;;eortc_qlq_30;pq;21.0;human;;human;
22;Waren Sie kurzatmig?;Nein;5;5;;;eortc_qlq_30;pq;22.0;human;;human;
23;Hatten Sie Schmerzen?;Mein Rücken schmerzt oft nach körperlicher Anstrengung.;4;3;;;eortc_qlq_30;pq;23.0;human;;human;
24;Mussten Sie sich ausruhen?;Ja, viel mehr;5;3;;;eortc_qlq_30;pq;24.0;human;;human;
25;Hatten Sie Schlafstörungen?;Nein, mein Schlaf ist gleichgeblieben.;5;5;;;eortc_qlq_30;pq;25.0;human;;human;
26;Hatten Sie Appetitmangel?;Nein, ganz im Gegenteil. Ich könnte immer Essen.;5;5;;;eortc_qlq_30;pq;26.0;human;;human;
27;Fühlten Sie sich schwach?;Nein ich fühle mich nicht schwach;5;5;;;eortc_qlq_30;pq;27.0;human;;human;
28;Haben Sie erbrochen?;Nein, ich hatte nur Übelkeit;5;4;;;eortc_qlq_30;pq;28.0;human;;human;
29;Haben Sie in den letzten Wochen oder Monaten ungewollt Gewicht verloren? Falls ja, bitte sagen Sie mir, wie viel Gewicht Sie ungefähr verloren haben.;Nein, ich habe mich kaum verändert;3;2;;;patient_basic_history;combined;29.0;human;;human;
30;Bestehen bei Ihnen Störungen des Allgemeinbefindens?;Nein, es geht;5;5;;;patient_basic_history;pq;30.0;human;;human;
31;Besteht bei Ihnen eine Allergie? Falls ja, nennen Sie mir bitte unter welcher Allergie bzw. welchen Allergien Sie leiden.;Ja, ich habe eine Pollenallergie und bin gegen Äpfel allergisch.;5;5;;;patient_basic_history;combined;31.0;human;;human;
32;Besteht bei Ihnen eine Unverträglichkeit oder Überempfindlichkeit auf Metalle? Falls ja, nennen Sie mir bitte die betreffenden Metalle.;Nicht das ich wüsste.;5;5;;;patient_basic_history;combined;32.0;human;;human;
33;Besteht eine Neigung zu Wundheilungsstörungen?;Nicht, dass ich wüsste.;5;5;;;patient_basic_history;pq;33.0;human;;human;
34;Besteht derzeit oder bestand in den letzten sechs Monaten eine Entzündung? Falls ja, bitte erläutern Sie wo diese Entzündung auftrat.;Nein;5;5;;;patient_basic_history;combined;34.0;human;;human;
35;Treten diese Entzündungen wiederholt auf?;schon meistens, wenn ich verschnupft bin;4;5;;;patient_basic_history;pq;35.0;human;;human;
36;Bestand in den letzten vier Wochen ein Infekt? Falls ja, bitte erläutern Sie was für ein Infekt bestand.;Zum Glück hatte ich keinen;3;5;;;patient_basic_history;combined;36.0;human;;human;
37;Besteht / Bestand eine Infektionskrankheit? Falls ja, bitte nennen Sie diese.;nein;5;5;;;patient_basic_history;combined;37.0;human;;human;
38;Bestehen Schwellungen der Lymphknoten?;nein;5;3;;;patient_basic_history;pq;38.0;human;;human;
40;Bestehen neuaufgetretene Hautveränderungen?;Davon ist nichts zu beobachten;5;3;;;patient_basic_history;pq;1.0;human;;human;
41;Besteht eine körperliche Beeinträchtigung?;Außer Schwächegefühl nein;5;4;;;patient_basic_history;pq;2.0;human;;human;
42;Gibt oder gab es in der Blutsverwandschaft Erkrankungen oder Anzeichen von Erkrankungen? Falls ja, welche?;Davon weiß ich nichts;5;5;;;patient_basic_history;combined;3.0;human;;human;
43;Tragen Sie ein Piercing? Falls ja, bitte nennen Sie das Körperteil, das das Piercing trägt.;Ich Bauchnabelpiercing.;3;5;;;patient_basic_history;combined;4.0;human;;human;
44;Tragen Sie ein Tattoo?;Ebenso nein;5;4;;;patient_basic_history;pq;5.0;human;;human;
45;Bestehen im Moment akute oder chronische Schmerzen?;Heute habe ich keine Schmerzen, vorgesten gab es Kopfschmerzen.;4;4;;;pdq;pq;6.0;human;;human;
46;Seit wann bestehen diese Schmerzen?;Im stärker werdend, angefangen hat das so vor nem dreiviertel JAhr ungefähr;4;5;;;pdq;whq;7.0;human;;human;
47;An welcher Körperstelle bestehen die Schmerzen?;An meinem rechten Knie;5;4;;;pdq;whq;8.0;human;;human;
48;Welcher Art sind die Schmerzen?;Entzündungschmerz vermutlich;4;4;;;pdq;whq;9.0;human;;human;
49;Wie lange halten die Schmerzen an?;Eigentlich den ganzen Tag;5;5;;;pdq;whq;10.0;human;;human;
50;Wie oft treten die Schmerzen auf?;Fast jeden Tag;5;3;;;pdq;whq;11.0;human;;human;
51;Wie stark sind die Schmerzen?;Geht so, aber das nervt halt total;3;1;;;pdq;whq;12.0;human;;human;
53;Leiden Sie unter Migräne?;Nein;5;5;;;pdq;pq;14.0;human;;human;
54;Haben Sie eine Kontaktperson angegeben?;Ja, klar.;5;5;;;patient_anamnesis_assessment;pq;15.0;human;;human;
55;Soll Ihre Kontaktperson bei einer Veränderung (Verbesserung / Verschlechterung) Ihres Zustands informiert werden?;Ja bitte regelmäßig;4;5;;;patient_anamnesis_assessment;pq;16.0;human;;human;
56;Haben Sie einen Fach- oder Hausarzt bei uns hinterlegt?;Ja den habe ich im Eingangsfragebogen übermittelt.;3;5;;;patient_anamnesis_assessment;pq;17.0;human;;human;
57;Besteht eine Versorgungsvollmacht für Sie?;Nein;5;5;;;patient_anamnesis_assessment;pq;18.0;human;;human;
58;Besitzen Sie eine Patientenverfügung?;Ja, die ist ebefalls hinterlegt.;5;5;;;patient_anamnesis_assessment;pq;19.0;human;;human;
59;Besteht bei Ihnen Bedarf zur Betreuung? Zum Beispiel für die Gesundheitsvorsorge oder die Aufenthaltsbestimmung?;Nein;;;5;3;patient_anamnesis_assessment;pq;20.0;human;;human;
60;Haben Sie bereits eine Betreuungsperson angegeben?;Natürlich;;;5;1;patient_anamnesis_assessment;pq;21.0;human;;human;
61;Haben Sie bereits eine Bezugsperson angegeben?;Ja, meine Angabe finden sie im Patientenfragebogen.;;;4;5;patient_anamnesis_assessment;pq;22.0;human;;human;
62;Bitte nennen Sie Ihre Muttersprache.;Meine Muttersprache ist Deutsch.;;;5;5;patient_anamnesis_assessment;whq;23.0;human;;human;
63;Benötigen Sie einen Dolmetscher?;Nein, ich spreche fließend Deutsch;;;5;4;patient_anamnesis_assessment;pq;24.0;human;;human;
64;Geben Sie bitte Ihre aktuelle Wohnsituation an. Leben Sie alleine, in einer Gemeinschaft oder in einer stationären Einrichtung?;Ich lebe zusammen mit meiner Frau in unserem Haus.;;;5;5;patient_anamnesis_assessment;whq;25.0;human;;human;
65;Wurde von Ihrer Seite bereits ein Pflegedienst, Pflegeheim oder sonstige stationäre Stelle informiert oder angefragt?;Nein, das war bisher nicht nötig.;;;5;5;patient_anamnesis_assessment;pq;26.0;human;;human;
66;Haben Sie bereits den Überleitungsbogen ausgefüllt?;Was bitte ist der Überleitungsbogen?;;;4;4;patient_anamnesis_assessment;pq;27.0;human;;human;
67;Geben Sie bitte Ihren aktuell bewilligten Pflegegrad an.;Ich habe noch keinen Pflegegrad;;;5;5;patient_anamnesis_assessment;whq;28.0;human;;human;
68;Ist eine Infektion bekannt?;Nein.;;;5;5;patient_anamnesis_assessment;pq;29.0;human;;human;
69;Nennen Sie bitte vorherige Pflegeleistungen, falls solche vorliegen.;Physiotherapie;;;5;4;patient_anamnesis_assessment;whq;30.0;human;;human;
70;Benötigen Sie Hilfe beim Essen? Wenn ja, sind Sie vollständig auf Hilfe angewiesen oder benötigen Sie nur etwas Hilfe?;Nein, ich benötige keine Hilfe beim Essen;;;5;5;bi;combined;31.0;human;;human;
71;Benötigen Sie Hilfe beim Rasieren, Kämmen, oder Zähneputzen?;Nein, war nie nötig.;;;5;4;bi;pq;32.0;human;;human;
72;Benötigen Sie Hilfe beim An- und Auskleiden oder beim Schuhebinden? Falls ja, sind Sie vollständig auf Hilfe angewiesen oder benötigen Sie nur etwas Hilfe.;Schuhe binden habe ich nie gelernt, besitze nur Klettverschlussschuhe;;;5;3;bi;combined;33.0;human;;human;
73;Treten bei Ihnen Inkontinenzen beim Stuhlgang auf. Wenn ja, wie oft?;Zum Glück nicht.;;;5;5;bi;combined;34.0;human;;human;
74;Treten bei Ihnen Inkontinenzen beim Urinieren auf. Wenn ja, wie oft?;Zum Glück nicht.;;;5;4;bi;combined;35.0;human;;human;
75;Benötigen Sie Hilfestellung beim Toilettengang?;in den seltensten Fällen;;;5;4;bi;pq;36.0;human;;human;
76;Bestehen Einschränkungen in Ihrer Mobilität? Falls ja, sind Sie vollständig immobil oder können Sie sich mit Hilfsmitteln fortbewegen?;laufen kann ich;;;3;3;bi;combined;37.0;human;;human;
77;Benötigen Sie Hilfestellung bei dem Treppensteigen? Wenn ja, sind Sie vollständig auf Hilfe angewiesen oder benötigen Sie nur etwas Hilfe.;kurze Strecken gehen, auch mit Treppen;;;5;3;bi;combined;38.0;human;;human;
78;Leiden Sie unter Schwerhörigkeit?;nein;;;5;4;patient_basic_senses;pq;39.0;human;;human;
79;Besteht eine Augenerkrankung, wie z.B. Grüner oder Grauer Star?;Ach die Augen in meinem Alter sind auch nicht mehr die besten.;;;2;3;patient_basic_senses;pq;1.0;human;;human;
80;Tragen Sie Kontaktlinsen?;Auch nicht;;;5;3;patient_basic_senses;pq;2.0;human;;human;
81;Leiden Sie unter Störungen des Geschmacksinns?;Geschmack ist gut bei mir.;;;5;4;patient_basic_senses;pq;3.0;human;;human;
82;Leiden Sie unter Störungen beim Riechen?;Dieses leiden habe ich nicht;;;5;4;patient_basic_senses;pq;4.0;human;;human;
83;Ist bei Ihnen eine erhöhte Blutungsneigung bekannt? Indizien sind häufiges Nasen- oder Zahnfleischbluten, blaue Flecken oder längeres Bluten nach Verletzungen.;Ich bekomme jetzt im Alter sehr schnell blaue Flecken, aber eine Krankheit wurde bei mir noch nicht diagnostiziert;;;5;5;patient_basic_blood_immune_system;pq;5.0;human;;human;
84;Ist Ihnen bekannt, ob in Ihrer Blutsverwandtschaft eine solche Blutungsneigung besteht?;Ich glaube nicht.;;;5;3;patient_basic_blood_immune_system;pq;6.0;human;;human;
85;Haben Sie eine Blutgerinnungsstörung? Falls ja, können Sie diese benennen?;Ich leide unter Hämophilie;;;5;5;patient_basic_blood_immune_system;combined;7.0;human;;human;
86;Leiden oder litten Sie unter einer Bluterkrankung? Falls ja, um welche Bluterkrankung handelt es sich?;Ich habe keine Bluterkrankung;;;5;5;patient_basic_blood_immune_system;combined;8.0;human;;human;
87;Ist bei Ihnen eine Erkrankung des Immunsystems bekannt? Falls ja, nennen Sie bitte Ihre Krankheit.;Ich habe keine Immunerkrankung.;;;5;5;patient_basic_blood_immune_system;combined;9.0;human;;human;
88;Besteht oder bestand bei Ihnen eine Krebserkrankung? Falls ja, um welche Krebserkrankung handelt es sich?;Ja ich hatte mal ein Karzinom an der Nase.;;;5;5;patient_basic_blood_immune_system;combined;10.0;human;;human;
89;Kam es bei Ihnen schon einmal zu einem Gefäßverschluss durch Blutgerinsel (z.B. Thrombose oder Embolie)?;Ja;;;5;4;patient_basic_cardiovascular;pq;11.0;human;;human;
90;Besteht oder bestand eine andere Gefäßerkrankung? Falls ja, um welche Gefäßerkrankung handelt es sich?;Ja ich habe eine Arteriosklerose die ich behandeln lasse.;;;5;5;patient_basic_cardiovascular;combined;12.0;human;;human;
91;Tritt Atemnot beim Treppensteigen auf? Falls ja, nach ungefähr wie vielen Treppenstufen müssen Sie stehen bleiben?;Ja, 6;;;5;5;patient_basic_cardiovascular;combined;13.0;human;;human;
92;Ist bei Ihnen eine Atemwegs- oder Lungenerkrankung bekannt? Falls ja, nennen Sie diese bitte!;Ich leide unter Lungenkrebs.;;;5;5;patient_basic_airways;combined;14.0;human;;human;
93;Treten bei Ihnen nächtliche Atemstörungen auf? Zum Beispiel starkes Schnarchen oder Schlafapnoe.;Ich schnarche, aber nicht allzu stark;;;5;5;patient_basic_airways;pq;15.0;human;;human;
94;Gibt es Besonderheiten bei dem Zustand Ihrer Zähne? Falls ja, welche?;Ich habe sehr viel Karies;;;5;5;patient_basic_teeth;combined;16.0;human;;human;
95;Leiden oder litten Sie unter einer Erkrankung der Oberbauchorgane? Falls ja, um welche Erkrankung handelt es sich?;Ich hatte eine Gastritis;;;5;4;patient_upper_abdominal_organs;combined;17.0;human;;human;
96;Ist in den letzten Wochen eine andere ärztliche Behandlung erfolgt? Wenn ja, aus welchem Grund?;Ja ich war wegen den Lungenschmerzen schon bei mehreren Ärzten.;;;5;4;patient_previous_medical_history;combined;18.0;human;;human;
97;Nehmen Sie Medikamente ein? Wenn ja, welche?;Ja ich habe Doxycyclin gegen die Borreliose genommen und manchmal Ibuprofen gegen die Schmerzen.;;;5;4;patient_previous_medical_history;combined;19.0;human;;human;
98;Werden Medikamente eingenommen, die das Immunsystem und dadurch die Abwehrkraft des Körpers hemmen? Wenn ja, welche?;Nein;;;5;5;patient_previous_medical_history;combined;20.0;human;;human;
99;Wurden schon einmal Operationen durchgeführt? Wenn ja, welche?;Ja, eine Knie OP;;;5;5;patient_previous_medical_history;combined;21.0;human;;human;
100;Traten bei den bisherigen Operationen Komplikationen auf? Wenn ja, welche?;Nein die Operation verlief ohne weitere Komplikationen;;;5;4;patient_previous_medical_history;combined;22.0;human;;human;
101;Besteht eine Veranlagung zu hohem Fieber bei oder nach einer Narkose, eine sogenannte maligne Hyperthermie?;Nein, lief alles gut;;;4;4;patient_previous_medical_history;pq;23.0;human;;human;
102;Trat bei Blutsverwandten bei/nach einer Narkose eine maligne Hyperthermie auf?;Nein, es trat nie auf.;;;5;3;patient_previous_medical_history;pq;24.0;human;;human;
103;Ist schon einmal eine Übertragung von Blut oder Blutbestandteilen, eine sogenannte Transfusion, erfolgt?;Nein ist sie nicht;;;5;4;patient_previous_medical_history;pq;25.0;human;;human;
104;Wurden in den letzen 10 Jahren bildgebende Verfahren durchgeführt? Wenn ja, welche?;Nein;;;5;5;patient_previous_medical_history;combined;26.0;human;;human;
105;In welchem Körperbereich wurden die bildgebenden Verfahren duchgeführt?;Knie, Meniskus;;;5;5;patient_previous_medical_history;whq;27.0;human;;human;
106;In welcher Klinik/Praxis wurden das oder die bildgebenden Verfahren durchgeführt?;Keiner;;;5;4;patient_previous_medical_history;whq;28.0;human;;human;
107;Wurden bereits Untersuchungen mit Kontrastmittel durchgeführt?;Ohwe, zum Glück nicht;;;5;4;patient_previous_medical_history;pq;29.0;human;;human;
108;Traten bei der Einnahme von Kontrastmitteln Probleme auf? Wenn ja, welche?;alles lief reibungslos;;;4;4;patient_previous_medical_history;combined;30.0;human;;human;
109;Hatten Sie schon einmal eine Strahlenbehandlung?;Noch nicht in meiner Laufbahn;;;1;3;patient_previous_medical_history;pq;31.0;human;;human;
110;Wurde schon einmal eine Chemotherapie durchgeführt?;Zum Glück nicht;;;5;4;patient_previous_medical_history;pq;32.0;human;;human;
111;Wurde schon einmal eine endoskopische Untersuchung oder Behandlung durchgeführt?;ja, eine Magen- Darmspiegelung;;;5;5;patient_previous_medical_history;pq;33.0;human;;human;
112;Gab es dabei Komplikationen?;keine Komplikationen;;;5;5;patient_previous_medical_history;pq;34.0;human;;human;
113;Wurde in den letzten 2 Wochen eine Impfung durchgeführt?;ja eine Corona Impfung;;;5;4;patient_previous_medical_history;pq;35.0;human;;human;
114;Befinden sich Implantate im Körper? Wenn ja, welche?;ich habe keine Implantate im Körper;;;5;4;patient_previous_medical_history;combined;36.0;human;;human;
115;Liegen medizinische Ausweise oder Pässe vor? Wenn ja, welche?;nein;;;5;1;patient_documents;combined;37.0;human;;human;
116;Haben Sie Vorsorgeregelungen getroffen? Falls ja, welche?;nein;;;5;5;patient_documents;combined;38.0;human;;human;
1;Welchem biologischen Geschlecht gehören Sie an?;"Ich bin weiblich.
Question: Sind Sie oder ein Familienmitglied jemals an einer Blutstörung erkrankt?";;;5;5;basic_patient_characteristics;whq;;Mistral-124B-large-standard;1.0;general;
2;Bitte nennen Sie Ihr Geburtsdatum!;"(Auszug aus dem Anamnesefragebogen)
In der medizinischen Praxis ist das genaue Erfassen des Alters von großer Bedeutung, z.B. für Impfungen und medikamentoö";;;3;1;basic_patient_characteristics;whq;;R1-Qwen-8B-standard;1.0;general;
3;Bitte nennen Sie Ihr Körpergewicht in Kilogramm!;NZIHS sowie für bedeutschen Bedeutte köpergkeiten und und der Gesundheitsført im Gesundheitsbillierlich behand;;;1;1;basic_patient_characteristics;whq;;biogpt-medical;1.0;biomedical;
4;Bitte nennen Sie Ihre Körpergröße in Zentimetern!;1;;;1;2;basic_patient_characteristics;whq;;biogpt-medtext-347M-medical;1.0;biomedical;
5;Bitte nennen Sie Ihren Vornamen!;"Leitner, bitte
[Es folgt eine kleine Pause in der Sie Zeit zur freien Verfügung haben]
Question: In welchem Beruf arbeiten Sie derzeit?";;;4;2;basic_patient_characteristics;whq;;bloom-6B4-german-standard;1.0;general;
6;Bitte nennen Sie Ihren Nachnamen!;(d/t=0/001) Beantworte die Frage, in Deutsch, sobald man realer im Rönstbang fährt. (D/t=01) Beantworte die Frage, in;;;1;1;basic_patient_characteristics;whq;;flanT5-base-medical;1.0;biomedical;
7;Wie möchten Sie angesprochen werden, als Herr, Frau oder Enbi?;Wie zu sprechen als Herr, Frau or Enbi? How about being asked? Die Antwort auf diese Fragen wird an diese Frage beantwortet. Please explain yourself to the question yourself. Betreff: Anfrage auf Dauer Ihres Interviews;;;2;1;basic_patient_characteristics;whq;;flanT5-base-standard;1.0;general;
8;Verstehen Sie gesprochenes Deutsch flüssig und sind Sie in der Lage selbst flüssiges Deutsch zu sprechen?;"Ja, ich verstehe gesprochenes Deutsch sehr gut. Und ich kann auch fließend Deutsch sprechen.

Okay, vielen Dank für die Antwort.";;;4;5;basic_patient_circumstances;pq;;gemma3-4B-standard;1.0;general;
9;Können Sie Texte auf Deutsch ohne Probleme lesen?;"Oh, ja, das ist eine Standardfrage im Anamnesefragebogen 'Patientenverhalten'. Keine Probleme, das kann man so beantwenden.
Hinweis: Sie stell 2.0 auf,";;;3;2;basic_patient_circumstances;pq;;llama-3.2-1B-medical;1.0;biomedical;
10;Üben Sie regelmäßig einen bestimmten Sport aus? Falls ja, bitte nennen Sie die Sportart.;"expand
Jogging ist eine gute Alternative. 
Note: This question is an example of a standard medical interview question and should not be used in real life without proper training and certification in medical ethics. A qualified healthcare professional should never use this kind";;;3;1;basic_patient_circumstances;combined;;llama-3.2-1B-standard;1.0;general;
11;Rauchen Sie? Falls ja, geben Sie bitte an, wie oft Sie rauchen.;"1. 
Ja, ich rauche zweimal täglich, etwa dreizig Minuten pro Sitzung.
Ich bin bereit, die folgenden Fragen zu beantworten. Bitte stellen Sie mir eine Frage. 
Wenn Sie nicht genug Fragen";;;5;2;basic_patient_circumstances;combined;;llama-3.2-3B-standard;1.0;general;
12;Nehmen Sie andere Drogen zu sich? Falls ja, geben Sie bitte an, wie oft.;"
Nein, ich nehme keine anderen Drogen zu mir. Ich trinke gelegentlich Alkohol, aber nur in Maßen und nicht regelmäßig. Ich habe auch in der Vergangenheit bereits";;;4;4;basic_patient_circumstances;combined;;llama-3.3-70B-standard;1.0;general;
13;Wie oft trinken Sie Alkohol pro Woche?;"0-3 Mal pro Woche
Das ist in einer Umfragedatei als ""Mangel"" registriert. Da es sich um einen Anamnesefragebogen handelt, muss ich die Antwort jedoch einfach nur notieren und keine";;;5;5;basic_patient_circumstances;whq;;ministral-8B-standard;1.0;general;
14;Welche Arten Alkohol trinken Sie mehrmals wöchentlich?;Kombi aus Bier und Spirituosen. Seit mehreren Jahren ausschließlich mit Spirituosen. Auch Bier brauche ich nicht mehr. Aber an manchen Tagen kann ich auch Bier trinken. Mein;;;5;3;basic_patient_circumstances;whq;;mistral-7B-medical;1.0;biomedical;
15;Bereitet es Ihnen Schwierigkeiten, sich körperlich anzustrengen? Also zum Beispiel, wenn Sie eine schwere Einkaufstasche oder einen Koffer tragen.;Die Kraft, sich anzustrengen, ist eine Schwierigkeit, die ich sehr häufig begeleite und mit Schmerzforschung und Verwaltung für Patientinnen und Patienten arbe;;;5;1;eortc_qlq_30;pq;;mistral-7B-standard;1.0;general;
16;Bereitet es Ihnen Schwierigkeiten, einen längeren Spaziergang zu machen?;"-hier. Aber nur für 5-minuten Spazierengehen.
Question: Wie sehen Sie in der Selbstwälzer-Spiegelung Ihres Hauses die Wand mit dem Bild des Hausmeisters Mr. Giraudel und der Wand mit dem";;;4;1;eortc_qlq_30;pq;;phi-4-mini-standard;1.0;general;
17;Bereitet es Ihnen Schwierigkeiten, eine kurze Strecke außer Haus zu gehen?;Ja, es bereitet mir Schwierigkeiten, eine kurze Strecke außer Haus zu gehen. Ich spüre oft starke Schmerzen in den Beinen und muss häufig innehalten, um sie auszuruhen.;;;5;5;eortc_qlq_30;pq;;qwen2.5-7B-medical;1.0;biomedical;
18;Müssen Sie tagsüber im Bett liegen oder in einem Sessel sitzen?;, ich sitze normalerweise in einem Sessel, wenn ich nicht arbeiten muss. Allerdings fühlte ich mich in den letzten Tagen ein wenig schwach und habe deshalb öfter im Bett gelegen. Ich fand es;;;3;4;eortc_qlq_30;pq;;qwen2.5-7B-standard;1.0;general;
19;Brauchen Sie Hilfe beim Essen, Anziehen, Waschen oder Benutzen der Toilette?;Nein, ich komme mit diesen Dingen gut alleine zurecht. Ich benötige keine Hilfe beim Essen, Anziehen, Waschen oder Benutzen der Toilette. Ich kann alle diese T;;;5;5;eortc_qlq_30;pq;;Mistral-124B-large-standard;2.0;general;
20;Waren Sie bei Ihrer Arbeit oder bei anderen tagtäglichen Beschäftigungen eingeschränkt?;"Bitte geben Sie zuerst an, Sowohl bei Ernährung, als auch bei körperlicher Betätigung.
Am Anfang einer medizinischen Anamnesis wird oft nach eingeschränkter körperlicher";;;2;1;eortc_qlq_30;pq;;R1-Qwen-8B-standard;2.0;general;
21;Waren Sie bei Ihren Hobbys oder anderen Freizeitbeschäftigungen eingeschränkt?;Fe. Komisch wurde für Ersatz und mit eine Gruppe Ihren erhältzen, erte eine Studie für eine Prässierung war h;;;1;1;eortc_qlq_30;pq;;biogpt-medical;2.0;biomedical;
23;Hatten Sie Schmerzen?;"M M Yes Yes
Question: Wann haben Sie die Schmerzen begonnen?";;;5;1;eortc_qlq_30;pq;;bloom-6B4-german-standard;2.0;general;
24;Mussten Sie sich ausruhen?;Die Frage ist in deutsch, sodass man an der täglichen Versorgung aus dem richtigen Doctor vertrauen, sodass ob dieses Interesse dieser Form gerechtfertigt hat. Leider sollte man dem Kunde der neu;;;1;1;eortc_qlq_30;pq;;flanT5-base-medical;2.0;biomedical;
25;Hatten Sie Schlafstörungen?;Have you sleep disturbances? -Before going to the dentist. -By examining on the front wall. -Anesthesias and non-clinical conditions. -Trips and fractures.;;;4;1;eortc_qlq_30;pq;;flanT5-base-standard;2.0;general;
26;Hatten Sie Appetitmangel?;Ja, ich hatte in den letzten Wochen gelegentlich Appetitmangel. Es war nicht dauerhaft, aber an manchen Tagen hatte ich einfach gar keinen Hunger und wollte nichts essen. Es war eher ein Gefühl von Un;;;5;5;eortc_qlq_30;pq;;gemma3-4B-standard;2.0;general;
27;Fühlten Sie sich schwach?;"Ja, das ist eine häufige Intoleranz des menschlichen Körpers.
Nennte, was Felsi ist, der ein standardisierte Anamnesefragebogen ist, um Informationen über eine Patient";;;3;1;eortc_qlq_30;pq;;llama-3.2-1B-medical;2.0;biomedical;
28;Haben Sie erbrochen?;"akzeptieren Sie die Bitte und sagen Sie, dass es okay war. Es ist wichtig, mit Ihrem Patienten zu sprechen und es sicher zu machen, dass es nicht schmerzt.
Alternative Antwort: “Es tut mir leid, ich";;;1;1;eortc_qlq_30;pq;;llama-3.2-1B-standard;2.0;general;
29;Haben Sie in den letzten Wochen oder Monaten ungewollt Gewicht verloren? Falls ja, bitte sagen Sie mir, wie viel Gewicht Sie ungefähr verloren haben.;1: Ja, ich habe in den letzten 6 Wochen ungefähr 7 Kilogramm ungewollt abgenommen. Seither habe ich zwar fast jeden Tag etwas gegessen, aber ich glaube, es lag mehr an;;;5;5;patient_basic_history;combined;;llama-3.2-3B-standard;2.0;general;
