quid,model,response,similarity_to_centroid,pairwise_mean_micro,similarity_to_human_centroid,avg_centroid_similarity,avg_human_model_centroid_distance,questionnaire,question_type,model_domain
1,ministral-8B-standard,1,0.88375056,0.6139121,0.47648755,0.83134204,0.52626795,basic_patient_characteristics,whq,general
1,ministral-8B-standard,2,0.8691387,0.6139121,0.49938053,0.83134204,0.52626795,basic_patient_characteristics,whq,general
1,ministral-8B-standard,3,0.84424603,0.6139121,0.59476954,0.83134204,0.52626795,basic_patient_characteristics,whq,general
1,ministral-8B-standard,4,0.65272045,0.6139121,0.44554073,0.83134204,0.52626795,basic_patient_characteristics,whq,general
1,ministral-8B-standard,5,0.9068544,0.6139121,0.6151614,0.83134204,0.52626795,basic_patient_characteristics,whq,general
1,llama-3.3-70B-standard,1,0.8895499,0.6494454,0.56948483,0.8482666,0.49380103,basic_patient_characteristics,whq,general
1,llama-3.3-70B-standard,2,0.8986584,0.6494454,0.5203637,0.8482666,0.49380103,basic_patient_characteristics,whq,general
1,llama-3.3-70B-standard,3,0.8393839,0.6494454,0.4476655,0.8482666,0.49380103,basic_patient_characteristics,whq,general
1,llama-3.3-70B-standard,4,0.7823066,0.6494454,0.36950278,0.8482666,0.49380103,basic_patient_characteristics,whq,general
1,llama-3.3-70B-standard,5,0.83143437,0.6494454,0.5619884,0.8482666,0.49380103,basic_patient_characteristics,whq,general
1,llama-3.2-3B-standard,1,0.9257541,0.7433552,0.5275428,0.8914506,0.5443871,basic_patient_characteristics,whq,general
1,llama-3.2-3B-standard,2,0.90279025,0.7433552,0.6013012,0.8914506,0.5443871,basic_patient_characteristics,whq,general
1,llama-3.2-3B-standard,3,0.9005047,0.7433552,0.5544028,0.8914506,0.5443871,basic_patient_characteristics,whq,general
1,llama-3.2-3B-standard,4,0.9128921,0.7433552,0.5601914,0.8914506,0.5443871,basic_patient_characteristics,whq,general
1,llama-3.2-3B-standard,5,0.81531155,0.7433552,0.47849733,0.8914506,0.5443871,basic_patient_characteristics,whq,general
1,llama-3.2-1B-standard,1,0.70608926,0.36746365,0.4698652,0.7028307,0.36694017,basic_patient_characteristics,whq,general
1,llama-3.2-1B-standard,2,0.68700504,0.36746365,0.54170084,0.7028307,0.36694017,basic_patient_characteristics,whq,general
1,llama-3.2-1B-standard,3,0.7734438,0.36746365,0.24487844,0.7028307,0.36694017,basic_patient_characteristics,whq,general
1,llama-3.2-1B-standard,4,0.7734438,0.36746365,0.24487844,0.7028307,0.36694017,basic_patient_characteristics,whq,general
1,llama-3.2-1B-standard,5,0.5741714,0.36746365,0.33337793,0.7028307,0.36694017,basic_patient_characteristics,whq,general
1,qwen2.5-7B-standard,1,0.90335894,0.756457,0.42706096,0.89731014,0.47915977,basic_patient_characteristics,whq,general
1,qwen2.5-7B-standard,2,0.898653,0.756457,0.57213825,0.89731014,0.47915977,basic_patient_characteristics,whq,general
1,qwen2.5-7B-standard,3,0.8662293,0.756457,0.52873015,0.89731014,0.47915977,basic_patient_characteristics,whq,general
1,qwen2.5-7B-standard,4,0.9091121,0.756457,0.48042732,0.89731014,0.47915977,basic_patient_characteristics,whq,general
1,qwen2.5-7B-standard,5,0.90919745,0.756457,0.38744232,0.89731014,0.47915977,basic_patient_characteristics,whq,general
1,qwen2.5-7B-medical,1,0.83507586,0.43880373,0.41825742,0.74232274,0.41356277,basic_patient_characteristics,whq,biomedical
1,qwen2.5-7B-medical,2,0.7877254,0.43880373,0.46581727,0.74232274,0.41356277,basic_patient_characteristics,whq,biomedical
1,qwen2.5-7B-medical,3,0.84075356,0.43880373,0.44092897,0.74232274,0.41356277,basic_patient_characteristics,whq,biomedical
1,qwen2.5-7B-medical,4,0.42185912,0.43880373,0.23563877,0.74232274,0.41356277,basic_patient_characteristics,whq,biomedical
1,qwen2.5-7B-medical,5,0.82619977,0.43880373,0.5071715,0.74232274,0.41356277,basic_patient_characteristics,whq,biomedical
1,phi-4-mini-standard,1,0.802459,0.28730246,0.37368953,0.6556233,0.35895008,basic_patient_characteristics,whq,general
1,phi-4-mini-standard,2,0.67197937,0.28730246,0.31645757,0.6556233,0.35895008,basic_patient_characteristics,whq,general
1,phi-4-mini-standard,3,0.593302,0.28730246,0.49263465,0.6556233,0.35895008,basic_patient_characteristics,whq,general
1,phi-4-mini-standard,4,0.7103806,0.28730246,0.45617723,0.6556233,0.35895008,basic_patient_characteristics,whq,general
1,phi-4-mini-standard,5,0.49999565,0.28730246,0.15579146,0.6556233,0.35895008,basic_patient_characteristics,whq,general
1,mistral-7B-standard,1,0.6675633,0.37472114,0.5670247,0.70694906,0.3451635,basic_patient_characteristics,whq,general
1,mistral-7B-standard,2,0.7556269,0.37472114,0.31788725,0.70694906,0.3451635,basic_patient_characteristics,whq,general
1,mistral-7B-standard,3,0.5801455,0.37472114,0.16729084,0.70694906,0.3451635,basic_patient_characteristics,whq,general
1,mistral-7B-standard,4,0.71060276,0.37472114,0.2291616,0.70694906,0.3451635,basic_patient_characteristics,whq,general
1,mistral-7B-standard,5,0.82080686,0.37472114,0.44445303,0.70694906,0.3451635,basic_patient_characteristics,whq,general
1,llama-3.2-1B-medical,1,0.7036138,0.4367796,0.23751631,0.7412312,0.35131446,basic_patient_characteristics,whq,biomedical
1,llama-3.2-1B-medical,2,0.6038992,0.4367796,0.43655762,0.7412312,0.35131446,basic_patient_characteristics,whq,biomedical
1,llama-3.2-1B-medical,3,0.8263589,0.4367796,0.48230258,0.7412312,0.35131446,basic_patient_characteristics,whq,biomedical
1,llama-3.2-1B-medical,4,0.7759391,0.4367796,0.23640886,0.7412312,0.35131446,basic_patient_characteristics,whq,biomedical
1,llama-3.2-1B-medical,5,0.796345,0.4367796,0.36378694,0.7412312,0.35131446,basic_patient_characteristics,whq,biomedical
1,bloom-6B4-german-standard,1,0.56124544,0.3434182,0.22759257,0.6890098,0.26908073,basic_patient_characteristics,whq,general
1,bloom-6B4-german-standard,2,0.8527029,0.3434182,0.30253232,0.6890098,0.26908073,basic_patient_characteristics,whq,general
1,bloom-6B4-german-standard,3,0.61564755,0.3434182,0.07891661,0.6890098,0.26908073,basic_patient_characteristics,whq,general
1,bloom-6B4-german-standard,4,0.7949057,0.3434182,0.41557783,0.6890098,0.26908073,basic_patient_characteristics,whq,general
1,bloom-6B4-german-standard,5,0.62054753,0.3434182,0.32078433,0.6890098,0.26908073,basic_patient_characteristics,whq,general
1,biogpt-medtext-347M-medical,1,0.8184717,0.31135714,0.6711043,0.73546225,0.49511036,basic_patient_characteristics,whq,biomedical
1,biogpt-medtext-347M-medical,2,0.7466806,0.31135714,0.5215184,0.73546225,0.49511036,basic_patient_characteristics,whq,biomedical
1,biogpt-medtext-347M-medical,3,0.6412344,0.31135714,0.29270834,0.73546225,0.49511036,basic_patient_characteristics,whq,biomedical
1,biogpt-medical,1,0.7781787,0.32707596,0.38279462,0.6794563,0.31579292,basic_patient_characteristics,whq,biomedical
1,biogpt-medical,2,0.56902504,0.32707596,0.1551554,0.6794563,0.31579292,basic_patient_characteristics,whq,biomedical
1,biogpt-medical,3,0.5958486,0.32707596,0.11511043,0.6794563,0.31579292,basic_patient_characteristics,whq,biomedical
1,biogpt-medical,4,0.7818918,0.32707596,0.53163385,0.6794563,0.31579292,basic_patient_characteristics,whq,biomedical
1,biogpt-medical,5,0.67233723,0.32707596,0.3942703,0.6794563,0.31579292,basic_patient_characteristics,whq,biomedical
1,R1-Qwen-8B-standard,1,0.7736522,0.43514705,0.5201652,0.74034965,0.42608362,basic_patient_characteristics,whq,general
1,R1-Qwen-8B-standard,2,0.8117999,0.43514705,0.6684469,0.74034965,0.42608362,basic_patient_characteristics,whq,general
1,R1-Qwen-8B-standard,3,0.70729256,0.43514705,0.20732395,0.74034965,0.42608362,basic_patient_characteristics,whq,general
1,R1-Qwen-8B-standard,4,0.6762748,0.43514705,0.20440589,0.74034965,0.42608362,basic_patient_characteristics,whq,general
1,R1-Qwen-8B-standard,5,0.7327291,0.43514705,0.5300762,0.74034965,0.42608362,basic_patient_characteristics,whq,general
1,Mistral-124B-large-standard,1,0.7625843,0.40767002,0.48519838,0.72535235,0.3699136,basic_patient_characteristics,whq,general
1,Mistral-124B-large-standard,2,0.78705895,0.40767002,0.3363803,0.72535235,0.3699136,basic_patient_characteristics,whq,general
1,Mistral-124B-large-standard,3,0.7449399,0.40767002,0.42048153,0.72535235,0.3699136,basic_patient_characteristics,whq,general
1,Mistral-124B-large-standard,4,0.7500813,0.40767002,0.50292677,0.72535235,0.3699136,basic_patient_characteristics,whq,general
1,Mistral-124B-large-standard,5,0.5820971,0.40767002,0.10458098,0.72535235,0.3699136,basic_patient_characteristics,whq,general
1,gemma3-4B-standard,1,0.9833009,0.86223084,0.5610453,0.9469282,0.53038204,basic_patient_characteristics,whq,general
1,gemma3-4B-standard,2,0.83781004,0.86223084,0.43839222,0.9469282,0.53038204,basic_patient_characteristics,whq,general
1,gemma3-4B-standard,3,0.9833009,0.86223084,0.5610453,0.9469282,0.53038204,basic_patient_characteristics,whq,general
1,gemma3-4B-standard,4,0.9833009,0.86223084,0.5610453,0.9469282,0.53038204,basic_patient_characteristics,whq,general
1,flanT5-base-standard,1,0.5939245,0.35963833,0.18068509,0.6983628,0.31146064,basic_patient_characteristics,whq,general
1,flanT5-base-standard,2,0.8001966,0.35963833,0.3865557,0.6983628,0.31146064,basic_patient_characteristics,whq,general
1,flanT5-base-standard,3,0.5005714,0.35963833,0.23996949,0.6983628,0.31146064,basic_patient_characteristics,whq,general
1,flanT5-base-standard,4,0.7875861,0.35963833,0.30151337,0.6983628,0.31146064,basic_patient_characteristics,whq,general
1,flanT5-base-standard,5,0.8095355,0.35963833,0.4485796,0.6983628,0.31146064,basic_patient_characteristics,whq,general
1,flanT5-base-medical,1,0.84456146,0.63754827,0.373074,0.8426379,0.48913556,basic_patient_characteristics,whq,biomedical
1,flanT5-base-medical,2,0.77897036,0.63754827,0.47780293,0.8426379,0.48913556,basic_patient_characteristics,whq,biomedical
1,flanT5-base-medical,3,0.851195,0.63754827,0.48563126,0.8426379,0.48913556,basic_patient_characteristics,whq,biomedical
1,flanT5-base-medical,4,0.89500606,0.63754827,0.5647814,0.8426379,0.48913556,basic_patient_characteristics,whq,biomedical
1,flanT5-base-medical,5,0.8434567,0.63754827,0.54438823,0.8426379,0.48913556,basic_patient_characteristics,whq,biomedical
2,llama-3.2-1B-medical,1,0.68814135,0.25323212,0.2600737,0.63449645,0.2517477,basic_patient_characteristics,whq,biomedical
2,llama-3.2-1B-medical,2,0.5918987,0.25323212,0.2574265,0.63449645,0.2517477,basic_patient_characteristics,whq,biomedical
2,llama-3.2-1B-medical,3,0.61026573,0.25323212,0.15985434,0.63449645,0.2517477,basic_patient_characteristics,whq,biomedical
2,llama-3.2-1B-medical,4,0.52789676,0.25323212,0.30799583,0.63449645,0.2517477,basic_patient_characteristics,whq,biomedical
2,llama-3.2-1B-medical,5,0.75427985,0.25323212,0.27338812,0.63449645,0.2517477,basic_patient_characteristics,whq,biomedical
2,llama-3.2-1B-standard,1,0.58619475,0.2736799,0.08194102,0.64725876,0.20436735,basic_patient_characteristics,whq,general
2,llama-3.2-1B-standard,2,0.6154685,0.2736799,0.27727845,0.64725876,0.20436735,basic_patient_characteristics,whq,general
2,llama-3.2-1B-standard,3,0.5602603,0.2736799,0.22373182,0.64725876,0.20436735,basic_patient_characteristics,whq,general
2,llama-3.2-1B-standard,4,0.6840725,0.2736799,0.10231415,0.64725876,0.20436735,basic_patient_characteristics,whq,general
2,llama-3.2-1B-standard,5,0.79029775,0.2736799,0.33657134,0.64725876,0.20436735,basic_patient_characteristics,whq,general
2,llama-3.2-3B-standard,1,0.6893252,0.43097752,0.16685633,0.7380935,0.15849462,basic_patient_characteristics,whq,general
2,llama-3.2-3B-standard,2,0.70086706,0.43097752,0.08937281,0.7380935,0.15849462,basic_patient_characteristics,whq,general
2,llama-3.2-3B-standard,3,0.72410333,0.43097752,0.056950346,0.7380935,0.15849462,basic_patient_characteristics,whq,general
2,llama-3.2-3B-standard,4,0.7765375,0.43097752,0.28112328,0.7380935,0.15849462,basic_patient_characteristics,whq,general
2,llama-3.2-3B-standard,5,0.79963475,0.43097752,0.19817033,0.7380935,0.15849462,basic_patient_characteristics,whq,general
2,gemma3-4B-standard,1,0.46986112,0.63274497,0.20792112,0.84035474,0.30165845,basic_patient_characteristics,whq,general
2,gemma3-4B-standard,2,0.93584096,0.63274497,0.45712864,0.84035474,0.30165845,basic_patient_characteristics,whq,general
2,gemma3-4B-standard,3,0.9452305,0.63274497,0.287137,0.84035474,0.30165845,basic_patient_characteristics,whq,general
2,gemma3-4B-standard,4,0.9056103,0.63274497,0.26896846,0.84035474,0.30165845,basic_patient_characteristics,whq,general
2,gemma3-4B-standard,5,0.9452305,0.63274497,0.287137,0.84035474,0.30165845,basic_patient_characteristics,whq,general
2,bloom-6B4-german-standard,1,0.7271372,0.33162725,0.16933969,0.68213046,0.2936109,basic_patient_characteristics,whq,general
2,bloom-6B4-german-standard,2,0.5380187,0.33162725,0.28693712,0.68213046,0.2936109,basic_patient_characteristics,whq,general
2,bloom-6B4-german-standard,3,0.740131,0.33162725,0.3473498,0.68213046,0.2936109,basic_patient_characteristics,whq,general
2,bloom-6B4-german-standard,4,0.765779,0.33162725,0.40344635,0.68213046,0.2936109,basic_patient_characteristics,whq,general
2,bloom-6B4-german-standard,5,0.63958615,0.33162725,0.26098156,0.68213046,0.2936109,basic_patient_characteristics,whq,general
2,flanT5-base-medical,1,0.6799767,0.34944052,0.09028582,0.69249725,0.24188237,basic_patient_characteristics,whq,biomedical
2,flanT5-base-medical,2,0.6204313,0.34944052,0.2870023,0.69249725,0.24188237,basic_patient_characteristics,whq,biomedical
2,flanT5-base-medical,3,0.719106,0.34944052,0.287996,0.69249725,0.24188237,basic_patient_characteristics,whq,biomedical
2,flanT5-base-medical,4,0.75957763,0.34944052,0.32146284,0.69249725,0.24188237,basic_patient_characteristics,whq,biomedical
2,flanT5-base-medical,5,0.68339443,0.34944052,0.22266498,0.69249725,0.24188237,basic_patient_characteristics,whq,biomedical
2,llama-3.3-70B-standard,1,0.9677732,0.7832957,0.3113491,0.9091956,0.28463793,basic_patient_characteristics,whq,general
2,llama-3.3-70B-standard,2,0.7394821,0.7832957,0.21999836,0.9091956,0.28463793,basic_patient_characteristics,whq,general
2,llama-3.3-70B-standard,3,0.9006108,0.7832957,0.2726949,0.9091956,0.28463793,basic_patient_characteristics,whq,general
2,llama-3.3-70B-standard,4,0.9649802,0.7832957,0.31205142,0.9091956,0.28463793,basic_patient_characteristics,whq,general
2,llama-3.3-70B-standard,5,0.97313154,0.7832957,0.3070959,0.9091956,0.28463793,basic_patient_characteristics,whq,general
2,flanT5-base-standard,1,0.8078871,0.48868328,0.23729624,0.7687305,0.37754804,basic_patient_characteristics,whq,general
2,flanT5-base-standard,2,0.44414496,0.48868328,0.23608324,0.7687305,0.37754804,basic_patient_characteristics,whq,general
2,flanT5-base-standard,3,0.85208577,0.48868328,0.54745734,0.7687305,0.37754804,basic_patient_characteristics,whq,general
2,flanT5-base-standard,4,0.8603909,0.48868328,0.47307646,0.7687305,0.37754804,basic_patient_characteristics,whq,general
2,flanT5-base-standard,5,0.87914383,0.48868328,0.39382678,0.7687305,0.37754804,basic_patient_characteristics,whq,general
2,ministral-8B-standard,1,0.40806302,0.36179414,0.11586504,0.6995965,0.17741852,basic_patient_characteristics,whq,general
2,ministral-8B-standard,2,0.769063,0.36179414,0.13770112,0.6995965,0.17741852,basic_patient_characteristics,whq,general
2,ministral-8B-standard,3,0.69410336,0.36179414,0.20868015,0.6995965,0.17741852,basic_patient_characteristics,whq,general
2,ministral-8B-standard,4,0.80480206,0.36179414,0.24718167,0.6995965,0.17741852,basic_patient_characteristics,whq,general
2,ministral-8B-standard,5,0.8219509,0.36179414,0.17766467,0.6995965,0.17741852,basic_patient_characteristics,whq,general
2,qwen2.5-7B-standard,1,0.8911108,0.7538587,0.2966136,0.8961512,0.27751642,basic_patient_characteristics,whq,general
2,qwen2.5-7B-standard,2,0.90793973,0.7538587,0.26748532,0.8961512,0.27751642,basic_patient_characteristics,whq,general
2,qwen2.5-7B-standard,3,0.8573259,0.7538587,0.37782145,0.8961512,0.27751642,basic_patient_characteristics,whq,general
2,qwen2.5-7B-standard,4,0.887292,0.7538587,0.14532076,0.8961512,0.27751642,basic_patient_characteristics,whq,general
2,qwen2.5-7B-standard,5,0.93708736,0.7538587,0.3003409,0.8961512,0.27751642,basic_patient_characteristics,whq,general
2,qwen2.5-7B-medical,1,0.909716,0.7923583,0.24045457,0.91317385,0.18206732,basic_patient_characteristics,whq,biomedical
2,qwen2.5-7B-medical,2,0.90727305,0.7923583,0.18139616,0.91317385,0.18206732,basic_patient_characteristics,whq,biomedical
2,qwen2.5-7B-medical,3,0.9136039,0.7923583,0.12077954,0.91317385,0.18206732,basic_patient_characteristics,whq,biomedical
2,qwen2.5-7B-medical,4,0.91167045,0.7923583,0.17587374,0.91317385,0.18206732,basic_patient_characteristics,whq,biomedical
2,qwen2.5-7B-medical,5,0.92360604,0.7923583,0.19183263,0.91317385,0.18206732,basic_patient_characteristics,whq,biomedical
2,phi-4-mini-standard,1,0.83438134,0.47697806,0.25024766,0.7626155,0.18942635,basic_patient_characteristics,whq,general
2,phi-4-mini-standard,2,0.79720426,0.47697806,0.1855596,0.7626155,0.18942635,basic_patient_characteristics,whq,general
2,phi-4-mini-standard,3,0.7854073,0.47697806,0.17409149,0.7626155,0.18942635,basic_patient_characteristics,whq,general
2,phi-4-mini-standard,4,0.6044577,0.47697806,0.095262945,0.7626155,0.18942635,basic_patient_characteristics,whq,general
2,phi-4-mini-standard,5,0.79162705,0.47697806,0.24197003,0.7626155,0.18942635,basic_patient_characteristics,whq,general
2,mistral-7B-standard,1,0.8080715,0.35931858,0.2582778,0.69817966,0.23249277,basic_patient_characteristics,whq,general
2,mistral-7B-standard,2,0.76660246,0.35931858,0.1746425,0.69817966,0.23249277,basic_patient_characteristics,whq,general
2,mistral-7B-standard,3,0.6489366,0.35931858,0.31235832,0.69817966,0.23249277,basic_patient_characteristics,whq,general
2,mistral-7B-standard,4,0.7110939,0.35931858,0.2801496,0.69817966,0.23249277,basic_patient_characteristics,whq,general
2,mistral-7B-standard,5,0.55619407,0.35931858,0.1370357,0.69817966,0.23249277,basic_patient_characteristics,whq,general
2,mistral-7B-medical,1,0.71020585,0.31932497,0.37003723,0.6748777,0.28351635,basic_patient_characteristics,whq,biomedical
2,mistral-7B-medical,2,0.7045541,0.31932497,0.17055827,0.6748777,0.28351635,basic_patient_characteristics,whq,biomedical
2,mistral-7B-medical,3,0.6243859,0.31932497,0.19137852,0.6748777,0.28351635,basic_patient_characteristics,whq,biomedical
2,mistral-7B-medical,4,0.6993836,0.31932497,0.2938218,0.6748777,0.28351635,basic_patient_characteristics,whq,biomedical
2,mistral-7B-medical,5,0.6358592,0.31932497,0.39178592,0.6748777,0.28351635,basic_patient_characteristics,whq,biomedical
2,human,1,0.864609,0.66686904,0.864609,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,2,0.8708796,0.66686904,0.8708796,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,3,0.9162744,0.66686904,0.9162744,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,4,0.9240921,0.66686904,0.9240921,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,5,0.83326006,0.66686904,0.83326006,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,6,0.91006744,0.66686904,0.91006744,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,7,0.8835843,0.66686904,0.8835843,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,8,0.86658466,0.66686904,0.86658466,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,9,0.939166,0.66686904,0.939166,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,10,0.86379904,0.66686904,0.86379904,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,11,0.7303388,0.66686904,0.7303388,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,12,0.9218364,0.66686904,0.9218364,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,13,0.9028951,0.66686904,0.9028951,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,14,0.8747487,0.66686904,0.8747487,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,15,0.8702355,0.66686904,0.8702355,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,16,0.8801199,0.66686904,0.8801199,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,17,0.9078518,0.66686904,0.9078518,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,18,0.8998136,0.66686904,0.8998136,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,19,0.85979307,0.66686904,0.85979307,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,20,0.9143846,0.66686904,0.9143846,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,21,0.92293054,0.66686904,0.92293054,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,22,0.9303047,0.66686904,0.9303047,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,23,0.88165414,0.66686904,0.88165414,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,24,0.8855091,0.66686904,0.8855091,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,25,0.86554104,0.66686904,0.86554104,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,26,0.8105563,0.66686904,0.8105563,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,27,0.90080595,0.66686904,0.90080595,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,28,0.8517722,0.66686904,0.8517722,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,29,0.86886823,0.66686904,0.86886823,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,30,0.8491761,0.66686904,0.8491761,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,31,0.8295981,0.66686904,0.8295981,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,32,0.9201094,0.66686904,0.9201094,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,33,0.7098798,0.66686904,0.7098798,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,34,0.5489953,0.66686904,0.5489953,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,35,0.44466507,0.66686904,0.44466507,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,36,0.45996004,0.66686904,0.45996004,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,37,0.61875284,0.66686904,0.61875284,0.8218339,0.8218339,basic_patient_characteristics,whq,human
2,human,38,0.553789,0.66686904,0.553789,0.8218339,0.8218339,basic_patient_characteristics,whq,human
